Gene,Description,A11.C636,A11,E9,HAP1.C597,KBM7
AKAP17A,A kinase (PRKA) anchor protein 17A,2.20,2.48,2.71,2.12,2.91
AKAP8,A kinase (PRKA) anchor protein 8,2.24,2.64,2.73,2.16,1.87
AKAP8L,A kinase (PRKA) anchor protein 8-like,2.06,2.65,2.86,2.07,2.09
ALKBH1,"alkB, alkylation repair homolog 1 (E. coli)",0.83,0.65,0.68,0.81,0.48
ALKBH5,"alkB, alkylation repair homolog 5 (E. coli)",3.74,3.58,3.37,3.69,1.93
ALKBH8,"alkB, alkylation repair homolog 8 (E. coli)",0.25,0.22,0.21,0.24,0.14
ALYREF,Aly/REF export factor,47.17,52.11,57.51,47.43,16.05
ANG,"angiogenin, ribonuclease, RNase A family, 5",0.34,0.28,0.19,0.34,0.14
ANGEL1,angel homolog 1 (Drosophila),1.50,1.45,1.29,1.48,1.63
ANGEL2,angel homolog 2 (Drosophila),2.09,1.72,1.66,2.09,1.15
ANKHD1,ankyrin repeat and KH domain containing 1,1.43,1.33,1.14,1.34,1.38
ANKRD17,ankyrin repeat domain 17,1.20,1.16,1.06,1.24,1.11
APEX1,APEX nuclease (multifunctional DNA repair enzyme) 1,98.57,98.32,106.05,94.99,114.65
API5,apoptosis inhibitor 5,8.76,6.12,5.39,8.19,4.02
APOBEC1,"apolipoprotein B mRNA editing enzyme, catalytic polypeptide 1",0.00,0.00,0.00,0.00,0.00
APOBEC2,"apolipoprotein B mRNA editing enzyme, catalytic polypeptide-like 2",0.02,0.03,0.03,0.01,0.06
APOBEC3A,0.0,0.00,0.00,0.01,0.00,0.32
APOBEC3B,0.0,0.07,0.06,0.11,0.12,3.08
APOBEC3C,0.0,0.06,0.02,0.42,1.29,11.11
APOBEC3D,0.0,0.02,0.01,0.01,0.02,0.43
APOBEC3F,"apolipoprotein B mRNA editing enzyme, catalytic polypeptide-like 3F",0.13,0.10,0.10,0.13,0.45
APOBEC3G,"apolipoprotein B mRNA editing enzyme, catalytic polypeptide-like 3G",0.04,0.02,0.02,0.07,0.71
APOBEC3H,"apolipoprotein B mRNA editing enzyme, catalytic polypeptide-like 3H",0.00,0.01,0.01,0.00,0.02
APOBEC4,"apolipoprotein B mRNA editing enzyme, catalytic polypeptide-like 4 (putative)",0.00,0.00,0.00,0.00,0.00
APTX,aprataxin,2.02,1.51,1.42,1.88,1.18
AQR,aquarius homolog (mouse),1.04,0.90,0.87,1.10,1.11
ARHGEF28,Rho guanine nucleotide exchange factor (GEF) 28,0.02,0.01,0.00,0.03,0.00
ARL6IP4,ADP-ribosylation-like factor 6 interacting protein 4,34.00,41.08,40.91,33.65,33.57
ASCC1,activating signal cointegrator 1 complex subunit 1,0.25,0.19,0.21,0.25,0.23
ASH1L,"ash1 (absent, small, or homeotic)-like (Drosophila)",0.82,0.97,0.97,0.77,0.28
ATXN1,ataxin 1,0.01,0.01,0.01,0.01,0.02
ATXN1L,ataxin 1-like,6.10,5.78,5.60,6.19,3.90
ATXN2,ataxin 2,0.48,0.56,0.60,0.50,0.38
ATXN2L,ataxin 2-like,19.11,25.75,26.85,18.94,17.69
AUH,AU RNA binding protein/enoyl-CoA hydratase,0.21,0.18,0.17,0.18,0.18
AZGP1,"alpha-2-glycoprotein 1, zinc-binding",0.00,0.00,0.00,0.02,0.00
BARD1,BRCA1 associated RING domain 1,0.38,0.29,0.28,0.36,0.37
BAZ2A,"bromodomain adjacent to zinc finger domain, 2A",4.83,4.89,4.84,5.21,4.00
BAZ2B,"bromodomain adjacent to zinc finger domain, 2B",0.17,0.16,0.13,0.18,0.12
BCDIN3D,BCDIN3 domain containing,1.79,1.53,1.53,1.54,0.85
BCLAF1,BCL2-associated transcription factor 1,8.71,9.51,10.22,8.53,5.10
BICC1,bicaudal C homolog 1 (Drosophila),0.19,0.17,0.17,0.21,0.04
BMS1,"BMS1 homolog, ribosome assembly protein (yeast)",3.06,2.74,2.75,3.13,1.80
BOLL,"bol, boule-like (Drosophila)",0.00,0.00,0.00,0.00,0.01
BOP1,block of proliferation 1,2.10,2.05,2.27,2.05,2.10
BRCA1,"breast cancer 1, early onset",1.46,1.15,1.10,1.31,1.27
BRIX1,"BRX1, biogenesis of ribosomes, homolog (S. cerevisiae)",10.56,8.55,8.70,10.20,5.52
BUD13,BUD13 homolog (S. cerevisiae),1.33,1.43,1.42,1.31,1.34
BYSL,bystin-like,6.38,4.84,5.44,6.51,2.87
BZW1,basic leucine zipper and W2 domains 1,22.83,15.93,14.58,21.66,9.52
BZW2,basic leucine zipper and W2 domains 2,3.02,2.31,2.12,2.77,2.59
C11orf68,chromosome 11 open reading frame 68,5.71,6.07,6.73,5.91,11.16
C12orf65,chromosome 12 open reading frame 65,1.37,1.36,1.19,1.53,0.97
C17orf85,chromosome 17 open reading frame 85,1.79,1.73,1.80,1.84,1.40
C1D,C1D nuclear receptor corepressor,0.79,0.44,0.40,0.69,0.62
C1QBP,"complement component 1, q subcomponent binding protein",63.92,57.68,60.61,62.47,34.85
C2orf15,chromosome 2 open reading frame 15,1.14,0.87,0.78,1.08,0.80
C9orf114,chromosome 9 open reading frame 114,7.54,8.80,9.53,6.83,6.26
C9orf129,chromosome 9 open reading frame 129,0.25,0.25,0.27,0.23,0.14
CACTIN,"cactin, spliceosome C complex subunit",2.20,3.04,3.16,2.36,1.90
CALR,calreticulin,157.35,160.21,142.49,149.84,100.32
CALR3,calreticulin 3,0.02,0.01,0.01,0.02,0.00
CANX,calnexin,40.65,30.55,27.98,39.64,26.04
CAPRIN1,cell cycle associated protein 1,13.18,12.05,11.44,12.53,6.72
CAPRIN2,caprin family member 2,0.77,0.70,0.71,0.63,0.48
CARHSP1,"calcium regulated heat stable protein 1, 24kDa",3.76,4.11,3.34,3.20,2.14
CARS,cysteinyl-tRNA synthetase,2.00,1.50,1.69,1.86,1.72
CARS2,"cysteinyl-tRNA synthetase 2, mitochondrial (putative)",1.14,1.10,1.15,1.03,0.73
CASC3,cancer susceptibility candidate 3,4.16,4.46,4.47,4.30,4.40
CCAR1,cell division cycle and apoptosis regulator 1,3.23,2.83,3.05,3.25,2.24
CCAR2,KIAA1967,14.01,14.80,15.12,13.54,14.30
CCDC59,coiled-coil domain containing 59,12.01,10.82,11.99,11.03,5.79
CCDC86,coiled-coil domain containing 86,16.58,21.04,21.69,16.60,5.45
CCNT1,cyclin T1,3.31,2.26,2.22,3.25,2.02
CCNT2,cyclin T2,1.81,1.60,1.62,1.70,1.43
CCRN4L,CCR4 carbon catabolite repression 4-like (S. cerevisiae),0.45,0.36,0.36,0.46,0.25
CD2BP2,CD2 (cytoplasmic tail) binding protein 2,24.28,26.35,25.04,23.90,10.84
CD3EAP,"CD3e molecule, epsilon associated protein",16.59,21.34,24.58,16.50,15.44
CDC40,cell division cycle 40 homolog (S. cerevisiae),0.97,0.71,0.54,0.89,0.78
CDC5L,cell division cycle 5-like,2.26,2.05,1.81,2.30,1.29
CDK5RAP1,CDK5 regulatory subunit associated protein 1,1.33,1.31,1.30,1.26,0.96
CDK9,cyclin-dependent kinase 9,10.18,10.18,10.86,9.97,14.46
CEBPZ,"CCAAT/enhancer binding protein (C/EBP), zeta",8.01,6.18,6.01,8.15,4.30
CELF1,"CUGBP, Elav-like family member 1",1.65,1.58,1.56,1.64,1.15
CELF2,"CUGBP, Elav-like family member 2",0.01,0.01,0.36,0.01,1.05
CELF3,"CUGBP, Elav-like family member 3",0.01,0.01,0.01,0.00,0.00
CELF4,"CUGBP, Elav-like family member 4",0.00,0.00,0.00,0.00,0.00
CELF5,"CUGBP, Elav-like family member 5",0.02,0.01,0.03,0.01,0.01
CELF6,"CUGBP, Elav-like family member 6",0.01,0.03,0.01,0.02,0.12
CHERP,calcium homeostasis endoplasmic reticulum protein,4.66,6.00,6.59,4.77,3.11
CHTOP,chromatin target of PRMT1,8.12,10.03,9.58,8.00,5.69
CIRBP,cold inducible RNA binding protein,30.81,33.75,35.83,30.91,28.76
CLASRP,CLK4-associating serine/arginine rich protein,1.86,2.69,3.03,1.86,1.85
CLK1,CDC-like kinase 1,4.16,2.96,2.84,3.87,6.97
CLK2,CDC-like kinase 2,6.86,7.87,8.49,6.57,5.32
CLK3,CDC-like kinase 3,2.16,2.17,2.16,3.94,4.56
CLK4,CDC-like kinase 4,0.68,0.58,0.60,0.65,1.06
CLP1,cleavage and polyadenylation factor I subunit 1,6.93,5.72,5.43,6.54,5.44
CMSS1,cms1 ribosomal small subunit homolog (yeast),0.16,0.14,0.16,0.17,0.20
CMTR1,cap methyltransferase 1,2.73,2.48,2.10,2.45,1.66
CMTR2,cap methyltransferase 2,3.27,2.52,2.31,3.07,2.32
CNBP,"CCHC-type zinc finger, nucleic acid binding protein",32.57,25.72,25.15,32.37,28.91
CNOT1,"CCR4-NOT transcription complex, subunit 1",9.75,8.53,8.18,9.69,9.31
CNOT10,"CCR4-NOT transcription complex, subunit 10",0.68,0.56,0.56,0.64,0.55
CNOT11,"CCR4-NOT transcription complex, subunit 11",4.38,3.31,3.09,4.23,2.99
CNOT2,"CCR4-NOT transcription complex, subunit 2",0.66,0.65,0.63,0.68,0.72
CNOT3,"CCR4-NOT transcription complex, subunit 3",5.61,7.57,7.83,5.81,2.91
CNOT4,"CCR4-NOT transcription complex, subunit 4",0.26,0.22,0.20,0.27,0.22
CNOT6,"CCR4-NOT transcription complex, subunit 6",1.65,1.32,1.00,1.63,1.00
CNOT6L,"CCR4-NOT transcription complex, subunit 6-like",0.32,0.20,0.19,0.32,0.49
CNOT7,"CCR4-NOT transcription complex, subunit 7",8.63,6.18,5.87,8.77,10.96
CNOT8,"CCR4-NOT transcription complex, subunit 8",3.53,2.56,2.20,3.26,5.77
CNP,"2',3'-cyclic nucleotide 3' phosphodiesterase",13.13,13.07,11.55,12.45,5.52
CPEB1,cytoplasmic polyadenylation element binding protein 1,0.16,0.13,0.15,0.28,0.01
CPEB2,cytoplasmic polyadenylation element binding protein 2,0.23,0.20,0.22,0.18,0.10
CPEB3,cytoplasmic polyadenylation element binding protein 3,0.11,0.08,0.08,0.10,0.07
CPEB4,cytoplasmic polyadenylation element binding protein 4,0.24,0.18,0.10,0.18,0.12
CPSF1,"cleavage and polyadenylation specific factor 1, 160kDa",9.04,11.26,12.04,9.14,16.95
CPSF2,"cleavage and polyadenylation specific factor 2, 100kDa",3.24,2.35,2.29,3.16,2.39
CPSF3,"cleavage and polyadenylation specific factor 3, 73kDa",2.27,1.90,1.98,2.15,2.02
CPSF3L,cleavage and polyadenylation specific factor 3-like,7.77,9.58,10.92,8.23,6.86
CPSF4,"cleavage and polyadenylation specific factor 4, 30kDa",3.96,4.18,4.38,3.86,3.24
CPSF4L,cleavage and polyadenylation specific factor 4-like,0.41,0.43,0.44,0.46,0.34
CPSF6,"cleavage and polyadenylation specific factor 6, 68kDa",5.77,6.30,6.57,5.47,5.20
CPSF7,"cleavage and polyadenylation specific factor 7, 59kDa",6.77,7.55,7.90,6.63,4.93
CRNKL1,crooked neck pre-mRNA splicing factor-like 1 (Drosophila),2.26,1.55,1.44,2.15,1.66
CRYZ,"crystallin, zeta (quinone reductase)",1.30,0.91,0.95,1.19,0.78
CSDC2,"cold shock domain containing C2, RNA binding",0.00,0.00,0.01,0.00,0.00
CSDE1,"cold shock domain containing E1, RNA-binding",18.18,14.27,14.20,18.06,14.55
CSTF1,"cleavage stimulation factor, 3' pre-RNA, subunit 1, 50kDa",4.83,3.96,3.90,4.71,3.56
CSTF2,"cleavage stimulation factor, 3' pre-RNA, subunit 2, 64kDa",4.95,4.68,4.47,4.99,3.13
CSTF2T,"cleavage stimulation factor, 3' pre-RNA, subunit 2, 64kDa, tau variant",12.35,12.34,10.28,12.69,14.42
CSTF3,"cleavage stimulation factor, 3' pre-RNA, subunit 3, 77kDa",1.29,1.02,1.24,1.25,1.00
CTIF,CBP80/20-dependent translation initiation factor,0.10,0.12,0.10,0.10,0.09
CTU1,cytosolic thiouridylase subunit 1 homolog (S. pombe),0.38,0.40,0.52,0.42,0.28
CTU2,cytosolic thiouridylase subunit 2 homolog (S. pombe),2.94,3.56,4.47,2.75,1.40
CWC15,CWC15 spliceosome-associated protein homolog (S. cerevisiae),4.78,4.47,4.35,4.63,4.00
CWC22,CWC22 spliceosome-associated protein homolog (S. cerevisiae),0.78,0.65,0.60,0.80,0.77
CWC25,CWC25 spliceosome-associated protein homolog (S. cerevisiae),1.23,1.31,1.26,1.11,1.46
CWC27,CWC27 spliceosome-associated protein homolog (S. cerevisiae),0.18,0.16,0.15,0.19,0.17
CWF19L1,"CWF19-like 1, cell cycle control (S. pombe)",1.69,1.41,1.44,1.65,1.11
CWF19L2,"CWF19-like 2, cell cycle control (S. pombe)",0.19,0.15,0.15,0.19,0.18
CXorf23,chromosome X open reading frame 23,0.27,0.30,0.22,0.24,0.23
DALRD3,DALR anticodon binding domain containing 3,8.28,8.76,9.01,7.77,6.60
DAP3,death associated protein 3,2.59,2.12,2.17,2.57,2.84
DARS,aspartyl-tRNA synthetase,1.99,1.39,1.35,2.02,1.77
DARS2,"aspartyl-tRNA synthetase 2, mitochondrial",3.64,2.94,2.72,3.49,1.88
DAZ2,deleted in azoospermia 2,0.00,0.00,0.00,0.00,0.00
DAZ4,deleted in azoospermia 4,0.00,0.00,0.00,0.00,0.00
DAZAP1,DAZ associated protein 1,8.36,10.83,11.41,8.00,6.53
DAZL,deleted in azoospermia-like,0.20,0.16,0.99,0.15,0.00
DBR1,debranching enzyme homolog 1 (S. cerevisiae),2.45,1.77,1.66,2.26,1.44
DCAF13,DDB1 and CUL4 associated factor 13,4.07,2.83,2.89,3.86,5.38
DCP1A,decapping mRNA 1A,0.49,0.52,0.48,0.46,0.33
DCP1B,DCP1 decapping enzyme homolog B (S. cerevisiae),0.24,0.24,0.26,0.22,0.44
DCP2,DCP2 decapping enzyme homolog (S. cerevisiae),2.27,1.57,1.36,2.05,1.36
DCPS,"decapping enzyme, scavenger",0.64,0.71,0.59,0.65,0.75
DDX1,DEAD (Asp-Glu-Ala-Asp) box helicase 1,8.44,5.74,5.93,8.37,4.82
DDX10,DEAD (Asp-Glu-Ala-Asp) box polypeptide 10,0.30,0.27,0.23,0.31,0.24
DDX17,DEAD (Asp-Glu-Ala-Asp) box helicase 17,24.54,27.92,27.85,23.57,28.44
DDX18,DEAD (Asp-Glu-Ala-Asp) box polypeptide 18,14.73,10.66,10.96,15.06,8.61
DDX19A,DEAD (Asp-Glu-Ala-Asp) box polypeptide 19A,4.75,4.64,4.43,4.75,2.47
DDX19B,Uncharacterized protein ,0.53,0.51,0.51,0.53,0.27
DDX20,DEAD (Asp-Glu-Ala-Asp) box polypeptide 20,4.46,3.77,3.41,4.32,3.21
DDX21,DEAD (Asp-Glu-Ala-Asp) box helicase 21,25.21,20.51,20.15,24.96,15.32
DDX23,DEAD (Asp-Glu-Ala-Asp) box polypeptide 23,12.50,13.11,13.12,12.19,7.58
DDX24,DEAD (Asp-Glu-Ala-Asp) box polypeptide 24,11.01,9.73,9.16,10.76,5.18
DDX25,DEAD (Asp-Glu-Ala-Asp) box helicase 25,0.11,0.10,0.05,0.09,0.01
DDX26B,DEAD/H (Asp-Glu-Ala-Asp/His) box polypeptide 26B,0.55,0.57,0.57,0.51,1.04
DDX27,DEAD (Asp-Glu-Ala-Asp) box polypeptide 27,5.45,6.06,6.64,5.58,3.78
DDX28,DEAD (Asp-Glu-Ala-Asp) box polypeptide 28,8.44,7.54,8.08,8.60,9.76
DDX31,DEAD (Asp-Glu-Ala-Asp) box polypeptide 31,0.95,0.87,0.90,0.94,0.54
DDX39A,DEAD (Asp-Glu-Ala-Asp) box polypeptide 39A,25.51,24.40,24.40,24.14,14.02
DDX39B,DEAD (Asp-Glu-Ala-Asp) box polypeptide 39B,49.52,50.71,56.17,47.50,45.07
DDX3X,"DEAD (Asp-Glu-Ala-Asp) box polypeptide 3, X-linked",42.32,36.41,36.07,42.23,23.51
DDX3Y,"DEAD (Asp-Glu-Ala-Asp) box polypeptide 3, Y-linked",0.08,0.07,0.08,0.08,4.22
DDX4,DEAD (Asp-Glu-Ala-Asp) box polypeptide 4,0.00,0.00,0.00,0.00,0.00
DDX41,DEAD (Asp-Glu-Ala-Asp) box polypeptide 41,15.63,17.60,17.41,15.47,16.15
DDX42,DEAD (Asp-Glu-Ala-Asp) box polypeptide 42,5.29,5.08,5.18,5.25,4.27
DDX43,DEAD (Asp-Glu-Ala-Asp) box polypeptide 43,0.00,0.00,0.00,0.01,0.01
DDX46,DEAD (Asp-Glu-Ala-Asp) box polypeptide 46,3.27,2.81,2.84,3.28,1.67
DDX47,DEAD (Asp-Glu-Ala-Asp) box polypeptide 47,5.51,4.20,4.07,5.30,3.91
DDX49,DEAD (Asp-Glu-Ala-Asp) box polypeptide 49,7.98,9.27,10.29,8.05,4.48
DDX5,DEAD (Asp-Glu-Ala-Asp) box helicase 5,141.50,134.22,129.81,140.87,73.71
DDX50,DEAD (Asp-Glu-Ala-Asp) box polypeptide 50,1.48,1.00,1.01,1.46,1.38
DDX51,DEAD (Asp-Glu-Ala-Asp) box polypeptide 51,7.81,9.74,10.16,7.92,5.74
DDX52,DEAD (Asp-Glu-Ala-Asp) box polypeptide 52,2.53,1.88,1.91,2.35,1.53
DDX54,DEAD (Asp-Glu-Ala-Asp) box polypeptide 54,3.95,5.18,5.76,4.10,3.15
DDX55,DEAD (Asp-Glu-Ala-Asp) box polypeptide 55,4.18,4.45,4.80,4.15,3.46
DDX56,DEAD (Asp-Glu-Ala-Asp) box helicase 56,16.72,17.67,18.91,16.20,7.71
DDX58,DEAD (Asp-Glu-Ala-Asp) box polypeptide 58,0.24,0.18,0.16,0.17,0.22
DDX59,DEAD (Asp-Glu-Ala-Asp) box polypeptide 59,0.72,0.69,0.59,0.64,0.64
DDX6,DEAD (Asp-Glu-Ala-Asp) box helicase 6,2.83,2.74,2.46,2.83,1.86
DDX60,DEAD (Asp-Glu-Ala-Asp) box polypeptide 60,0.03,0.02,0.01,0.02,0.18
DDX60L,DEAD (Asp-Glu-Ala-Asp) box polypeptide 60-like,0.04,0.03,0.01,0.03,0.28
DEK,DEK oncogene,6.37,5.67,5.84,6.18,4.21
DENR,density-regulated protein,8.38,5.77,5.61,7.88,4.38
DGCR14,DiGeorge syndrome critical region gene 14,2.12,2.58,2.80,2.15,1.22
DGCR8,DiGeorge syndrome critical region gene 8,2.61,3.06,3.28,2.58,1.76
DHX15,DEAH (Asp-Glu-Ala-His) box polypeptide 15,7.65,5.72,5.60,7.34,4.65
DHX16,DEAH (Asp-Glu-Ala-His) box polypeptide 16,4.92,5.01,5.58,5.14,2.74
DHX29,DEAH (Asp-Glu-Ala-His) box polypeptide 29,1.89,1.44,1.32,1.88,0.96
DHX30,DEAH (Asp-Glu-Ala-His) box polypeptide 30,4.00,4.26,4.12,4.02,2.03
DHX32,DEAH (Asp-Glu-Ala-His) box polypeptide 32,2.98,2.20,2.22,2.76,1.65
DHX33,DEAH (Asp-Glu-Ala-His) box polypeptide 33,4.94,4.62,4.53,4.99,3.33
DHX34,DEAH (Asp-Glu-Ala-His) box polypeptide 34,1.07,1.34,1.70,0.98,0.50
DHX35,DEAH (Asp-Glu-Ala-His) box polypeptide 35,0.54,0.39,0.36,0.49,0.44
DHX36,DEAH (Asp-Glu-Ala-His) box polypeptide 36,2.63,1.69,1.58,2.44,1.74
DHX37,DEAH (Asp-Glu-Ala-His) box polypeptide 37,1.91,2.33,2.48,1.80,1.14
DHX38,DEAH (Asp-Glu-Ala-His) box polypeptide 38,6.18,7.00,7.53,6.12,4.55
DHX40,DEAH (Asp-Glu-Ala-His) box polypeptide 40,1.45,0.97,1.09,1.48,1.01
DHX57,DEAH (Asp-Glu-Ala-Asp/His) box polypeptide 57,0.82,0.63,0.57,0.74,0.44
DHX58,DEXH (Asp-Glu-X-His) box polypeptide 58,0.05,0.04,0.07,0.04,0.15
DHX8,DEAH (Asp-Glu-Ala-His) box polypeptide 8,2.60,2.43,2.18,2.60,1.79
DHX9,DEAH (Asp-Glu-Ala-His) box polypeptide 9,13.31,9.78,9.96,13.01,5.44
DICER1,"dicer 1, ribonuclease type III",1.95,1.59,1.50,1.84,1.47
DIMT1,DIM1 dimethyladenosine transferase 1 homolog (S. cerevisiae),4.14,3.10,2.88,3.85,4.44
DIS3,DIS3 mitotic control homolog (S. cerevisiae),4.59,3.66,3.75,4.28,3.52
DIS3L,DIS3 mitotic control homolog (S. cerevisiae)-like,1.12,1.01,1.01,2.19,3.07
DIS3L2,DIS3 mitotic control homolog (S. cerevisiae)-like 2,0.08,0.10,0.10,0.09,0.07
DKC1,"dyskeratosis congenita 1, dyskerin",26.45,22.78,22.64,26.72,25.46
DNAAF2,"dynein, axonemal, assembly factor 2",2.74,1.72,1.87,2.66,2.22
DNAJC17,"DnaJ (Hsp40) homolog, subfamily C, member 17",0.52,0.60,0.63,0.45,0.43
DNAJC21,"DnaJ (Hsp40) homolog, subfamily C, member 21",2.46,2.12,2.09,2.47,2.33
DND1,dead end homolog 1 (zebrafish),4.82,6.25,5.42,4.90,4.11
DNMT1,DNA (cytosine-5-)-methyltransferase 1,5.58,5.90,6.31,5.15,4.51
DNMT3B,DNA (cytosine-5-)-methyltransferase 3 beta,1.67,1.39,1.27,1.50,3.55
DNTTIP2,"deoxynucleotidyltransferase, terminal, interacting protein 2",14.83,11.47,10.98,14.91,7.30
DQX1,DEAQ box RNA-dependent ATPase 1,0.07,0.10,0.11,0.10,0.09
DRG1,developmentally regulated GTP binding protein 1,2.95,2.18,2.37,2.85,1.64
DRG2,developmentally regulated GTP binding protein 2,2.61,2.59,2.73,2.55,2.32
DROSHA,"drosha, ribonuclease type III",1.20,1.37,1.45,1.16,0.72
DUS1L,dihydrouridine synthase 1-like (S. cerevisiae),15.53,18.88,18.45,14.62,10.67
DUS2,"dihydrouridine synthase 2-like, SMM1 homolog (S. cerevisiae)",0.62,0.52,0.52,0.63,0.52
DUS3L,dihydrouridine synthase 3-like (S. cerevisiae),6.49,9.83,10.19,6.24,5.10
DUS4L,dihydrouridine synthase 4-like (S. cerevisiae),0.99,0.71,0.86,0.94,1.00
DUSP11,dual specificity phosphatase 11 (RNA/RNP complex 1-interacting),1.35,1.04,1.06,1.21,1.20
DXO,dom-3 homolog Z (C. elegans),9.84,13.14,15.12,9.73,6.63
DYNC1H1,"dynein, cytoplasmic 1, heavy chain 1",5.78,5.01,4.16,5.83,2.44
DYNLL1,"dynein, light chain, LC8-type 1",113.96,100.56,97.67,112.99,48.69
DZIP1,DAZ interacting protein 1,1.59,1.49,1.44,1.57,1.41
DZIP1L,DAZ interacting zinc finger protein 1-like,0.25,0.32,0.36,0.22,0.19
DZIP3,"DAZ interacting protein 3, zinc finger",0.45,0.38,0.47,0.38,0.13
EARS2,"glutamyl-tRNA synthetase 2, mitochondrial",3.23,2.86,2.97,3.29,1.32
EBNA1BP2,EBNA1 binding protein 2,18.29,19.68,23.30,17.36,11.49
EDC3,enhancer of mRNA decapping 3 homolog (S. cerevisiae),1.31,1.21,1.20,2.66,1.71
EDC4,enhancer of mRNA decapping 4,13.01,14.75,14.27,12.87,9.11
EED,embryonic ectoderm development,1.19,0.77,0.80,1.06,0.74
EEF1A1,eukaryotic translation elongation factor 1 alpha 1,921.87,880.23,824.06,952.27,1553.23
EEF1A2,eukaryotic translation elongation factor 1 alpha 2,44.94,44.33,37.56,45.66,5.28
EEF1B2,eukaryotic translation elongation factor 1 beta 2,90.02,87.27,98.53,89.43,153.00
EEF1D,eukaryotic translation elongation factor 1 delta (guanine nucleotide exchange protein),16.94,22.40,24.90,17.86,30.67
EEF1E1,eukaryotic translation elongation factor 1 epsilon 1,4.03,3.16,2.85,3.49,2.34
EEF1G,eukaryotic translation elongation factor 1 gamma,85.83,85.45,84.82,86.93,115.41
EEF2,eukaryotic translation elongation factor 2,292.11,337.39,333.44,296.68,413.66
EEF2K,eukaryotic elongation factor-2 kinase,0.60,0.63,0.58,0.63,0.71
EEFSEC,"eukaryotic elongation factor, selenocysteine-tRNA-specific",0.13,0.13,0.13,0.12,0.10
EFTUD1,elongation factor Tu GTP binding domain containing 1,0.38,0.34,0.28,0.69,0.58
EFTUD2,elongation factor Tu GTP binding domain containing 2,7.10,6.16,5.36,6.97,4.28
EIF1,eukaryotic translation initiation factor 1,98.63,57.81,54.29,98.48,99.41
EIF1AD,eukaryotic translation initiation factor 1A domain containing,6.47,6.35,6.67,6.38,3.61
EIF1AX,"eukaryotic translation initiation factor 1A, X-linked",3.93,2.98,3.35,3.73,2.21
EIF1AY,"eukaryotic translation initiation factor 1A, Y-linked",0.01,0.00,0.00,0.01,1.96
EIF1B,eukaryotic translation initiation factor 1B,13.12,10.80,10.33,13.18,12.06
EIF2A,"eukaryotic translation initiation factor 2A, 65kDa",3.91,3.47,3.27,3.88,4.94
