Gene_ID,Transcript_ID,Gene,A11.C636,A11,E9,HAP1.C597,KBM7
ENSG00000150991.10,ENST00000339647.5,UBC,576.84,488.94,533.38,594.33,468.99
ENSG00000196230.8,ENST00000330914.3,TUBB,575.60,572.27,571.75,571.86,314.92
ENSG00000150991.10,ENST00000538617.1,UBC,551.93,467.83,510.36,568.66,448.74
ENSG00000096384.15,ENST00000371554.1,HSP90AB1,551.90,420.41,434.40,569.15,330.82
ENSG00000150991.10,ENST00000536769.1,UBC,539.11,456.96,498.51,555.45,438.31
ENSG00000161016.11,ENST00000529920.1,RPL8,501.82,543.61,625.52,510.91,825.82
ENSG00000096384.15,ENST00000353801.3,HSP90AB1,495.10,375.82,388.15,510.57,297.19
ENSG00000096384.15,ENST00000371646.5,HSP90AB1,495.10,375.82,388.15,510.57,297.19
ENSG00000084207.11,ENST00000398603.1,GSTP1,473.49,508.88,440.27,494.53,38.94
ENSG00000196230.8,ENST00000327892.8,TUBB,464.36,467.35,467.08,459.50,251.23
ENSG00000137154.8,ENST00000380381.3,RPS6,458.79,430.70,463.92,451.43,933.02
ENSG00000161016.11,ENST00000528957.1,RPL8,458.05,496.21,570.96,466.33,753.70
ENSG00000084207.11,ENST00000398606.3,GSTP1,449.24,482.82,417.73,469.21,36.94
ENSG00000161016.11,ENST00000394920.2,RPL8,448.63,486.02,559.27,456.74,738.26
ENSG00000142534.2,ENST00000596873.1,RPS11,445.10,485.27,530.32,451.49,719.97
ENSG00000140988.11,ENST00000530225.1,RPS2,444.05,555.93,612.46,435.12,587.88
ENSG00000161016.11,ENST00000527914.1,RPL8,442.89,479.80,552.11,450.89,728.80
ENSG00000123416.11,ENST00000547765.1,TUBA1B,436.10,364.25,383.21,418.16,252.43
ENSG00000123416.11,ENST00000336023.5,TUBA1B,431.76,360.64,379.39,414.00,249.91
ENSG00000229117.4,ENST00000501597.3,RPL41,424.34,512.70,544.62,437.83,565.06
ENSG00000140988.11,ENST00000529806.1,RPS2,421.43,527.06,580.87,412.96,554.97
ENSG00000140988.11,ENST00000526522.1,RPS2,419.90,525.14,578.76,411.46,552.95
ENSG00000166441.8,ENST00000530913.1,RPL27A,417.92,465.35,468.43,422.33,536.15
ENSG00000161016.11,ENST00000262584.3,RPL8,417.27,452.05,520.18,424.82,686.65
ENSG00000140988.11,ENST00000343262.4,RPS2,410.19,513.00,565.38,401.95,540.17
ENSG00000147403.12,ENST00000369817.2,RPL10,405.35,306.41,307.26,400.56,806.59
ENSG00000089157.11,ENST00000547475.1,RPLP0,391.40,368.21,370.41,416.77,688.90
ENSG00000089157.11,ENST00000547173.1,RPLP0,390.47,367.35,369.45,415.83,687.36
ENSG00000229117.4,ENST00000546591.1,RPL41,388.42,469.32,498.53,400.80,517.21
ENSG00000147403.12,ENST00000344746.4,RPL10,386.29,292.21,292.63,381.53,766.88
ENSG00000172757.8,ENST00000527344.1,CFL1,384.87,417.33,431.68,376.19,250.41
ENSG00000005022.5,ENST00000317881.8,SLC25A5,382.89,282.59,259.46,368.82,310.62
ENSG00000172757.8,ENST00000524553.1,CFL1,379.82,415.23,429.82,369.85,246.45
ENSG00000089157.11,ENST00000552292.1,RPLP0,373.72,358.47,358.05,405.41,668.98
ENSG00000147403.12,ENST00000424325.2,RPL10,373.15,282.40,282.87,368.59,740.44
ENSG00000137154.8,ENST00000315377.4,RPS6,364.66,342.76,364.14,357.71,739.89
ENSG00000137154.8,ENST00000380384.1,RPS6,362.59,340.78,362.05,355.71,735.60
ENSG00000008988.5,ENST00000519606.1,RPS20,351.92,298.53,296.85,335.30,1283.28
ENSG00000089157.11,ENST00000551150.1,RPLP0,350.02,333.74,335.77,373.31,614.96
ENSG00000089157.11,ENST00000549098.1,RPLP0,349.86,333.59,335.62,373.14,614.68
ENSG00000089157.11,ENST00000313104.5,RPLP0,349.62,333.36,335.39,372.89,614.26
ENSG00000089157.11,ENST00000546989.1,RPLP0,349.39,333.14,335.16,372.63,613.84
ENSG00000089157.11,ENST00000551258.1,RPLP0,348.76,333.86,336.28,371.62,611.81
ENSG00000008988.5,ENST00000520627.1,RPS20,345.90,293.43,291.76,329.56,1261.30
ENSG00000008988.5,ENST00000521262.1,RPS20,345.90,293.43,291.76,329.56,1261.30
ENSG00000008988.5,ENST00000524349.1,RPS20,344.06,291.84,290.19,327.80,1254.46
ENSG00000089157.11,ENST00000228306.4,RPLP0,341.94,326.04,328.03,364.69,600.76
ENSG00000089157.11,ENST00000392514.4,RPLP0,340.36,324.53,326.51,363.00,597.97
ENSG00000198034.6,ENST00000316084.6,RPS4X,338.28,319.68,320.59,339.50,590.95
ENSG00000133112.12,ENST00000309246.5,TPT1,337.04,311.00,273.65,333.62,669.27
ENSG00000111669.10,ENST00000535434.1,TPI1,328.60,270.34,264.68,343.44,135.16
ENSG00000142937.7,ENST00000372209.3,RPS8,327.67,241.07,239.37,316.78,568.14
ENSG00000008988.5,ENST00000523936.1,RPS20,325.90,264.76,259.48,312.22,1192.65
ENSG00000186468.8,ENST00000511844.1,RPS23,325.34,246.71,245.66,319.31,548.41
ENSG00000008988.5,ENST00000009589.3,RPS20,323.31,274.25,272.78,308.05,1178.33
ENSG00000177954.7,ENST00000392558.4,RPS27,322.76,288.22,300.27,330.89,614.44
ENSG00000137154.8,ENST00000380394.4,RPS6,315.22,296.16,314.64,309.25,638.36
ENSG00000142937.7,ENST00000396651.3,RPS8,314.43,231.33,229.74,303.98,545.04
ENSG00000008988.5,ENST00000518875.1,RPS20,314.13,280.62,280.27,298.39,1114.74
ENSG00000164032.7,ENST00000296417.5,H2AFZ,312.77,176.93,172.35,285.35,158.70
ENSG00000133112.12,ENST00000379060.4,TPT1,312.61,273.66,240.70,309.57,621.76
ENSG00000171858.13,ENST00000370592.2,RPS21,311.75,227.70,258.49,298.76,433.40
ENSG00000108518.7,ENST00000574872.1,PFN1,308.41,361.43,432.27,304.12,213.18
ENSG00000133112.12,ENST00000379055.1,TPT1,301.76,271.10,238.26,298.80,598.78
ENSG00000133112.12,ENST00000379056.1,TPT1,299.83,257.51,225.75,296.39,589.39
ENSG00000133112.12,ENST00000530705.1,TPT1,293.71,257.86,226.81,290.88,583.73
ENSG00000197756.5,ENST00000456586.1,RPL37A,293.02,204.63,204.32,285.10,426.39
ENSG00000167658.11,ENST00000309311.6,EEF2,292.11,337.39,333.44,296.68,413.66
ENSG00000111669.10,ENST00000396705.5,TPI1,291.79,245.35,239.75,304.43,120.57
ENSG00000198034.6,ENST00000373626.3,RPS4X,284.23,219.07,220.11,285.09,495.12
ENSG00000135486.13,ENST00000330752.8,HNRNPA1,283.51,229.30,229.47,281.49,380.92
ENSG00000166441.8,ENST00000526562.1,RPL27A,280.97,315.25,322.09,287.03,367.54
ENSG00000142534.2,ENST00000599561.1,RPS11,277.68,287.57,313.70,281.00,445.76
ENSG00000142534.2,ENST00000594493.1,RPS11,276.42,286.16,312.14,279.72,443.09
ENSG00000034510.4,ENST00000233143.4,TMSB10,273.06,311.45,322.90,230.88,188.45
ENSG00000142534.2,ENST00000270625.2,RPS11,271.45,281.10,306.59,274.72,435.07
ENSG00000172757.8,ENST00000531407.1,CFL1,270.33,295.21,305.74,264.12,175.68
ENSG00000197756.5,ENST00000420712.1,RPL37A,269.03,188.29,187.87,261.75,390.14
ENSG00000135486.13,ENST00000340913.6,HNRNPA1,266.91,213.60,213.61,265.09,358.68
ENSG00000135486.13,ENST00000547276.1,HNRNPA1,266.20,213.27,213.24,264.23,357.97
ENSG00000108298.5,ENST00000579260.1,RPL19,264.50,235.86,247.93,270.62,388.95
ENSG00000108298.5,ENST00000582193.1,RPL19,264.08,235.53,247.58,270.19,388.39
ENSG00000108298.5,ENST00000579374.1,RPL19,262.02,233.72,245.68,268.09,385.28
ENSG00000122566.16,ENST00000356674.7,HNRNPA2B1,261.13,236.29,241.75,261.56,151.62
ENSG00000108298.5,ENST00000225430.4,RPL19,260.07,231.98,243.85,266.10,382.42
ENSG00000171858.13,ENST00000450116.2,RPS21,259.21,183.94,206.77,248.55,358.36
ENSG00000161960.10,ENST00000293831.8,EIF4A1,257.30,226.59,228.15,252.37,139.48
ENSG00000198755.6,ENST00000322203.6,RPL10A,256.27,210.79,206.93,243.05,399.75
ENSG00000171858.13,ENST00000370562.1,RPS21,254.55,180.68,203.10,244.10,351.92
ENSG00000111669.10,ENST00000229270.4,TPI1,251.77,211.77,206.89,262.90,104.04
ENSG00000105193.4,ENST00000599539.1,RPS16,251.25,241.77,275.55,238.69,309.17
ENSG00000161960.10,ENST00000577269.1,EIF4A1,250.40,222.96,225.66,244.90,140.68
ENSG00000105193.4,ENST00000601655.1,RPS16,249.89,240.46,274.07,237.34,307.27
ENSG00000161960.10,ENST00000581544.1,EIF4A1,249.43,220.90,223.80,243.82,141.01
ENSG00000105193.4,ENST00000339471.4,RPS16,249.41,240.04,273.55,236.95,306.81
ENSG00000105193.4,ENST00000251453.3,RPS16,248.35,239.02,272.40,235.95,305.46
ENSG00000172757.8,ENST00000308162.5,CFL1,248.20,261.51,270.40,241.70,161.09
ENSG00000142541.12,ENST00000391857.4,RPL13A,246.22,260.26,218.78,236.90,408.99
ENSG00000166441.8,ENST00000530022.1,RPL27A,245.82,275.87,281.94,251.13,320.75
ENSG00000166441.8,ENST00000534599.1,RPL27A,244.87,274.85,280.97,250.32,319.27
ENSG00000166441.8,ENST00000532359.1,RPL27A,244.68,274.58,280.71,250.09,318.96
ENSG00000166441.8,ENST00000524496.1,RPL27A,244.51,274.40,280.53,249.92,318.76
ENSG00000130255.8,ENST00000579446.1,RPL36,244.31,308.05,339.61,244.52,366.50
ENSG00000130255.8,ENST00000394580.2,RPL36,243.38,306.70,337.98,243.51,365.32
ENSG00000205542.6,ENST00000380633.1,TMSB4X,240.05,152.36,243.05,180.92,478.43
ENSG00000221983.3,ENST00000597451.1,UBA52,235.99,207.36,226.47,237.70,269.02
ENSG00000115053.11,ENST00000322723.4,NCL,233.12,227.39,229.62,235.35,117.28
ENSG00000166441.8,ENST00000531978.1,RPL27A,233.05,267.76,275.16,238.92,304.30
ENSG00000143947.8,ENST00000404735.1,RPS27A,230.44,149.14,165.74,229.08,350.66
ENSG00000231500.2,ENST00000474973.1,RPS18,227.50,175.67,187.53,228.94,426.01
ENSG00000204628.7,ENST00000514455.1,GNB2L1,227.04,192.96,206.07,215.93,315.88
ENSG00000177954.7,ENST00000368567.4,RPS27,224.58,197.70,205.98,229.73,427.36
ENSG00000122566.16,ENST00000360787.4,HNRNPA2B1,224.39,203.29,208.20,224.46,134.32
ENSG00000231500.2,ENST00000439602.2,RPS18,224.22,173.14,184.83,225.64,419.87
ENSG00000171858.13,ENST00000343986.4,RPS21,222.77,158.41,178.03,213.50,307.29
ENSG00000089009.11,ENST00000424576.2,RPL6,221.08,192.16,205.27,211.65,309.84
ENSG00000122566.16,ENST00000354667.4,HNRNPA2B1,220.37,199.63,204.44,220.43,131.99
ENSG00000164104.7,ENST00000438704.2,HMGB2,220.10,214.26,207.98,225.27,295.89
ENSG00000089009.11,ENST00000202773.9,RPL6,218.64,190.04,203.00,209.31,306.42
ENSG00000128272.10,ENST00000337304.2,ATF4,218.35,185.45,180.29,203.03,193.52
ENSG00000128272.10,ENST00000396680.1,ATF4,218.04,185.19,180.03,202.75,193.25
ENSG00000087086.9,ENST00000331825.6,FTL,217.55,235.82,206.00,233.47,521.74
ENSG00000169564.5,ENST00000303577.5,PCBP1,216.83,207.10,205.06,223.50,146.85
ENSG00000174748.14,ENST00000354811.5,RPL15,216.00,175.30,175.87,218.40,366.17
ENSG00000174444.10,ENST00000307961.6,RPL4,214.59,201.61,204.01,426.98,706.14
ENSG00000142676.8,ENST00000374550.3,RPL11,214.49,272.95,281.23,216.12,339.57
ENSG00000112306.7,ENST00000230050.3,RPS12,213.15,148.42,145.82,209.49,377.44
ENSG00000137818.7,ENST00000357790.5,RPLP1,208.34,247.03,272.67,431.93,739.10
ENSG00000188229.5,ENST00000340384.4,TUBB4B,207.23,250.47,246.92,198.48,85.48
ENSG00000174748.14,ENST00000436146.1,RPL15,206.77,159.06,153.04,206.65,359.91
ENSG00000132475.4,ENST00000587560.1,H3F3B,206.22,194.07,195.35,194.26,164.28
ENSG00000143947.8,ENST00000272317.6,RPS27A,206.06,133.41,148.22,204.83,312.91
ENSG00000186468.8,ENST00000507980.1,RPS23,205.66,132.89,134.55,202.10,346.78
ENSG00000149273.10,ENST00000526608.1,RPS3,205.28,198.13,194.36,201.35,428.35
ENSG00000137818.7,ENST00000560274.1,RPLP1,205.00,237.02,258.71,422.69,723.93
ENSG00000149925.12,ENST00000395240.3,ALDOA,203.50,207.09,219.69,220.56,158.17
ENSG00000149925.12,ENST00000569798.1,ALDOA,203.39,207.57,220.19,220.13,157.83
ENSG00000162244.6,ENST00000475248.1,RPL29,202.95,191.00,200.78,198.02,307.19
ENSG00000149273.10,ENST00000524851.1,RPS3,200.81,193.83,190.14,196.97,418.98
ENSG00000149925.12,ENST00000564595.2,ALDOA,200.28,203.83,216.22,217.07,155.68
ENSG00000167553.10,ENST00000301072.6,TUBA1C,197.76,218.51,234.30,191.97,86.40
ENSG00000130255.8,ENST00000347512.3,RPL36,197.36,248.95,274.19,197.76,295.09
ENSG00000187514.10,ENST00000410064.1,PTMA,195.32,276.23,277.26,194.85,182.97
ENSG00000265681.2,ENST00000580210.1,RPL17,194.75,164.19,166.68,182.81,285.45
ENSG00000135486.13,ENST00000547566.1,HNRNPA1,194.42,159.54,159.90,192.32,260.57
ENSG00000187514.10,ENST00000341369.7,PTMA,193.40,237.52,237.09,189.71,178.79
ENSG00000162244.6,ENST00000479017.1,RPL29,193.19,181.73,191.04,188.46,292.30
ENSG00000187514.10,ENST00000409115.3,PTMA,192.94,236.96,236.53,189.26,178.36
ENSG00000143947.8,ENST00000402285.3,RPS27A,192.71,124.79,138.66,191.61,292.86
ENSG00000162244.6,ENST00000495383.1,RPL29,191.98,180.58,189.84,187.27,290.45
ENSG00000265681.2,ENST00000579408.1,RPL17,191.42,161.47,163.94,179.69,280.44
ENSG00000187514.10,ENST00000409683.1,PTMA,190.73,247.18,246.90,188.27,176.76
ENSG00000162244.6,ENST00000466397.1,RPL29,190.32,178.97,188.14,185.62,287.87
ENSG00000108518.7,ENST00000225655.5,PFN1,190.14,233.18,281.49,188.13,131.71
ENSG00000179010.10,ENST00000382581.4,MRFAP1,190.00,145.76,144.68,183.92,81.90
ENSG00000162244.6,ENST00000480306.1,RPL29,189.88,178.68,187.88,185.12,285.92
ENSG00000102317.13,ENST00000354480.2,RBM3,189.51,189.99,187.10,198.54,163.11
ENSG00000136450.8,ENST00000581979.1,SRSF1,188.76,162.40,165.53,184.99,105.88
ENSG00000110955.4,ENST00000552919.1,ATP5B,187.84,127.37,130.39,186.00,117.57
ENSG00000221983.3,ENST00000599551.1,UBA52,187.82,166.18,181.23,189.21,213.23
ENSG00000204628.7,ENST00000503494.1,GNB2L1,187.28,181.05,199.66,183.10,259.06
ENSG00000142541.12,ENST00000484279.1,RPL13A,186.72,210.36,190.78,180.91,321.63
ENSG00000182117.4,ENST00000557912.1,NOP10,186.27,149.95,67.58,89.77,53.02
ENSG00000110955.4,ENST00000262030.3,ATP5B,186.18,126.25,129.24,184.35,116.52
ENSG00000088986.6,ENST00000550178.1,DYNLL1,185.49,200.21,204.99,180.29,76.98
ENSG00000162244.6,ENST00000294189.6,RPL29,184.17,173.70,182.81,179.55,275.48
ENSG00000172757.8,ENST00000525451.2,CFL1,183.13,192.96,199.51,178.32,118.83
ENSG00000205542.6,ENST00000380636.1,TMSB4X,182.18,115.24,185.57,137.26,360.86
ENSG00000132341.7,ENST00000254675.3,RAN,182.04,131.40,129.46,175.39,80.59
ENSG00000181449.2,ENST00000325404.1,SOX2,182.02,309.33,272.60,168.73,0.21
ENSG00000137818.7,ENST00000260379.6,RPLP1,181.98,215.71,238.06,377.39,645.32
ENSG00000205542.6,ENST00000451311.2,TMSB4X,181.92,115.08,185.30,137.07,360.34
ENSG00000132341.7,ENST00000392369.2,RAN,180.81,130.46,128.51,174.20,80.05
ENSG00000204628.7,ENST00000511900.1,GNB2L1,180.68,168.49,184.25,175.25,249.57
ENSG00000204628.7,ENST00000511566.1,GNB2L1,180.39,168.22,183.95,174.97,249.17
ENSG00000204628.7,ENST00000504726.1,GNB2L1,180.31,168.15,183.88,174.89,249.04
ENSG00000149273.10,ENST00000534440.1,RPS3,180.13,173.05,169.51,176.79,376.30
ENSG00000204628.7,ENST00000504325.1,GNB2L1,179.97,167.84,183.53,174.57,248.57
ENSG00000204628.7,ENST00000508682.1,GNB2L1,179.93,167.80,183.48,174.52,248.50
ENSG00000204628.7,ENST00000376817.4,GNB2L1,179.91,167.78,183.46,174.49,248.47
ENSG00000149273.10,ENST00000278572.6,RPS3,179.88,172.80,169.26,176.54,375.76
ENSG00000149273.10,ENST00000532872.1,RPS3,179.77,172.69,169.15,176.43,375.52
ENSG00000186468.8,ENST00000510019.1,RPS23,179.75,117.32,120.93,177.05,296.44
ENSG00000136450.8,ENST00000582730.2,SRSF1,179.63,159.18,162.46,176.03,101.63
ENSG00000149273.10,ENST00000530721.1,RPS3,179.45,172.38,168.85,176.12,374.86
ENSG00000149273.10,ENST00000528439.1,RPS3,179.42,172.35,168.82,176.09,374.79
ENSG00000102317.13,ENST00000376755.1,RBM3,179.35,175.53,172.36,190.37,153.90
ENSG00000118181.6,ENST00000532567.1,RPS25,179.08,182.93,190.22,173.87,316.45
ENSG00000182117.4,ENST00000328848.4,NOP10,179.04,144.16,65.00,86.31,50.96
ENSG00000204628.7,ENST00000511473.1,GNB2L1,178.86,166.80,182.39,173.48,247.02
ENSG00000135486.13,ENST00000546500.1,HNRNPA1,178.82,146.74,147.09,176.90,239.63
ENSG00000205542.6,ENST00000380635.1,TMSB4X,178.27,113.34,180.82,134.06,356.15
ENSG00000149925.12,ENST00000564546.1,ALDOA,177.70,180.86,191.86,192.61,138.12
ENSG00000167526.9,ENST00000567815.1,RPL13,176.02,191.59,199.71,166.38,316.00
ENSG00000115268.5,ENST00000585665.1,RPS15,174.68,195.59,204.70,164.21,203.98
ENSG00000149273.10,ENST00000422465.2,RPS3,174.51,167.60,164.15,171.34,364.05
ENSG00000132475.4,ENST00000592643.1,H3F3B,174.32,149.01,150.14,167.11,146.53
ENSG00000186468.8,ENST00000512493.1,RPS23,174.10,113.33,117.08,171.81,286.11
ENSG00000204628.7,ENST00000512805.1,GNB2L1,172.39,160.77,175.78,167.19,238.02
ENSG00000125691.8,ENST00000245857.5,RPL23,171.99,150.55,155.84,170.75,268.47
ENSG00000204628.7,ENST00000506312.1,GNB2L1,171.69,169.05,186.94,167.84,235.82
ENSG00000174748.14,ENST00000413699.1,RPL15,170.97,131.86,127.20,170.96,295.12
ENSG00000174748.14,ENST00000435882.1,RPL15,170.74,136.54,135.63,172.15,287.66
ENSG00000174748.14,ENST00000415719.1,RPL15,170.20,138.42,139.11,172.19,285.28
ENSG00000166681.9,ENST00000299872.7,NGFRAP1,168.24,152.26,174.16,161.88,106.58
ENSG00000132341.7,ENST00000392367.3,RAN,168.23,128.38,126.66,161.99,73.83
ENSG00000156482.6,ENST00000523172.1,RPL30,167.43,149.94,164.46,170.08,549.50
ENSG00000132507.13,ENST00000416016.2,EIF5A,167.40,158.41,171.98,170.69,76.36
ENSG00000132475.4,ENST00000591890.1,H3F3B,167.37,143.04,143.88,159.34,139.92
ENSG00000132341.7,ENST00000541630.1,RAN,167.33,120.48,118.67,161.20,74.30
ENSG00000156482.6,ENST00000521291.1,RPL30,166.78,151.49,165.85,169.45,548.99
ENSG00000164104.7,ENST00000446922.2,HMGB2,166.52,164.35,159.51,170.32,222.80
ENSG00000265681.2,ENST00000579248.1,RPL17,166.35,140.77,143.23,156.00,238.93
ENSG00000167526.9,ENST00000562879.1,RPL13,166.08,174.60,180.03,157.44,296.61
ENSG00000187514.10,ENST00000448874.1,PTMA,166.00,204.22,203.84,162.90,153.51
ENSG00000156482.6,ENST00000396070.2,RPL30,165.77,150.62,164.86,168.43,544.83
ENSG00000156482.6,ENST00000518850.1,RPL30,165.73,150.58,164.82,168.39,544.69
ENSG00000102317.13,ENST00000430348.2,RBM3,165.27,163.55,160.41,175.20,141.77
ENSG00000265681.2,ENST00000581373.1,RPL17,165.14,139.69,142.16,154.81,236.89
ENSG00000136450.8,ENST00000584773.1,SRSF1,164.21,147.67,153.22,161.98,97.79
ENSG00000156482.6,ENST00000287038.3,RPL30,163.81,148.83,162.91,166.45,538.37
ENSG00000265681.2,ENST00000580261.1,RPL17,163.51,138.32,140.75,153.33,234.36
ENSG00000265681.2,ENST00000418495.1,RPL17,163.16,138.01,140.44,152.99,233.84
ENSG00000140264.15,ENST00000409614.1,SERF2,161.60,140.25,148.27,168.02,171.04
ENSG00000118181.6,ENST00000527791.1,RPS25,161.43,164.83,171.56,156.71,280.71
ENSG00000164587.7,ENST00000518139.1,RPS14,161.35,121.97,133.59,166.14,309.51
ENSG00000118181.6,ENST00000527673.1,RPS25,160.78,164.17,170.87,156.08,279.58
ENSG00000141522.7,ENST00000580685.1,ARHGDIA,160.50,212.05,202.96,162.77,69.06
ENSG00000125691.8,ENST00000577407.1,RPL23,159.50,139.84,144.85,158.37,248.15
ENSG00000149925.12,ENST00000412304.2,ALDOA,158.90,161.78,171.69,172.28,123.65
ENSG00000136450.8,ENST00000583741.1,SRSF1,158.80,150.88,157.39,157.00,97.27
ENSG00000172757.8,ENST00000531413.1,CFL1,158.66,160.78,164.80,154.67,103.24
ENSG00000136450.8,ENST00000585096.1,SRSF1,157.74,149.90,156.00,156.06,96.44
ENSG00000106211.8,ENST00000429938.1,HSPB1,157.46,205.19,304.69,160.42,63.95
ENSG00000179218.9,ENST00000316448.5,CALR,157.35,160.21,142.49,149.84,100.32
ENSG00000074800.9,ENST00000234590.4,ENO1,155.99,127.72,137.30,162.80,86.24
ENSG00000149925.12,ENST00000563060.2,ALDOA,155.14,158.02,167.78,168.48,122.41
ENSG00000128272.10,ENST00000404241.2,ATF4,155.01,131.69,128.04,144.12,137.35
ENSG00000136450.8,ENST00000258962.4,SRSF1,153.54,145.83,152.22,151.78,93.97
ENSG00000132507.13,ENST00000571955.1,EIF5A,152.60,144.41,156.79,155.63,69.66
ENSG00000132507.13,ENST00000419711.2,EIF5A,152.60,144.41,156.79,155.63,69.66
ENSG00000149925.12,ENST00000569545.1,ALDOA,152.06,155.56,165.35,164.91,119.80
ENSG00000167552.9,ENST00000295766.5,TUBA1A,152.05,147.15,135.12,153.93,69.32
ENSG00000149273.10,ENST00000531188.1,RPS3,150.61,144.33,141.30,147.83,312.63
ENSG00000186468.8,ENST00000510210.1,RPS23,150.06,99.11,104.08,148.38,240.78
ENSG00000161970.8,ENST00000584906.1,RPL26,149.45,163.79,156.39,148.32,261.93
ENSG00000197958.8,ENST00000536368.1,RPL12,149.26,164.12,173.78,144.19,313.07
ENSG00000110321.11,ENST00000525681.1,EIF4G2,148.35,114.93,116.55,145.85,62.03
ENSG00000204628.7,ENST00000456394.2,GNB2L1,148.30,155.05,171.38,146.46,203.84
ENSG00000179010.10,ENST00000320912.4,MRFAP1,148.00,113.51,112.71,143.22,63.82
ENSG00000197958.8,ENST00000361436.5,RPL12,147.89,162.59,172.19,142.85,310.14
ENSG00000144381.12,ENST00000544407.1,HSPD1,147.46,136.74,136.18,152.94,59.76
ENSG00000173113.2,ENST00000535126.1,TRMT112,147.03,135.83,155.42,154.41,87.19
ENSG00000108654.7,ENST00000450599.2,DDX5,146.59,139.03,134.47,145.94,76.35
ENSG00000108654.7,ENST00000581693.1,DDX5,146.42,138.88,134.31,145.76,76.26
ENSG00000108654.7,ENST00000540698.2,DDX5,146.42,138.88,134.31,145.76,76.26
ENSG00000162244.6,ENST00000481629.1,RPL29,145.84,115.46,120.34,137.95,217.14
ENSG00000161960.10,ENST00000579139.1,EIF4A1,145.55,114.09,117.25,142.43,82.48
ENSG00000177600.4,ENST00000530797.1,RPLP2,145.35,118.48,128.08,150.95,171.70
ENSG00000092841.14,ENST00000536128.1,MYL6,144.03,150.00,178.39,148.58,65.58
ENSG00000161960.10,ENST00000580888.1,EIF4A1,143.98,126.67,128.54,139.91,80.62
ENSG00000167526.9,ENST00000452368.3,RPL13,143.94,150.95,155.19,136.49,256.13
ENSG00000108654.7,ENST00000578804.1,DDX5,143.86,134.48,129.89,143.91,75.85
ENSG00000144381.12,ENST00000440114.1,HSPD1,143.43,130.74,131.46,147.94,58.83
ENSG00000115268.5,ENST00000589656.2,RPS15,143.12,159.87,167.32,134.28,165.92
ENSG00000149273.10,ENST00000530164.1,RPS3,143.05,134.18,132.18,137.71,298.67
ENSG00000115268.5,ENST00000586096.2,RPS15,142.94,159.80,167.27,134.20,166.14
ENSG00000115268.5,ENST00000591804.2,RPS15,142.94,159.80,167.27,134.20,166.14
